"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"SH2B3" 0 0.853167353385049 0.384 0.073 0 "0" "SH2B3"
"TBXAS1" 0 0.852503992874623 0.416 0.092 0 "0" "TBXAS1"
"RNF13" 0 0.849917480580126 0.506 0.209 0 "0" "RNF13"
"RHOG" 0 0.849250148951492 0.547 0.23 0 "0" "RHOG"
"FAM49B" 0 0.848254209929214 0.597 0.283 0 "0" "FAM49B"
"LILRB4" 0 0.845213979710752 0.39 0.075 0 "0" "LILRB4"
"NFKBID" 0 0.844911433620098 0.353 0.054 0 "0" "NFKBID"
"QKI" 0 0.844697544163134 0.542 0.271 0 "0" "QKI"
"GMFG" 0 0.841812730474564 0.687 0.314 0 "0" "GMFG"
"ETS2" 0 0.839780056164336 0.405 0.123 0 "0" "ETS2"
"HAVCR2" 0 0.837819362879902 0.41 0.074 0 "0" "HAVCR2"
"FRMD4B" 0 0.836431553077728 0.455 0.148 0 "0" "FRMD4B"
"TGFBI" 0 0.835146472092533 0.79 0.509 0 "0" "TGFBI"
"LCP1" 0 0.832739606821522 0.56 0.183 0 "0" "LCP1"
"KLF4" 0 0.827124137429809 0.463 0.214 0 "0" "KLF4"
"ITGAX" 0 0.826872849279212 0.351 0.051 0 "0" "ITGAX"
"BTG2" 0 0.824114264345039 0.506 0.228 0 "0" "BTG2"
"CYFIP1" 0 0.818757638053581 0.446 0.142 0 "0" "CYFIP1"
"CTSA" 0 0.818353296135211 0.588 0.331 0 "0" "CTSA"
"ARPC3" 0 0.812564460939266 0.88 0.719 0 "0" "ARPC3"
"SLC7A7" 0 0.811875831009943 0.39 0.062 0 "0" "SLC7A7"
"EPB41L3" 0 0.810554319299443 0.366 0.056 0 "0" "EPB41L3"
"GATM" 0 0.80987537451671 0.308 0.031 0 "0" "GATM"
"ITGAM" 0 0.809097989794959 0.347 0.039 0 "0" "ITGAM"
"SNX2" 0 0.803225304353671 0.552 0.291 0 "0" "SNX2"
"NFKB1" 0 0.802064831897859 0.325 0.1 0 "0" "NFKB1"
"CD300A" 0 0.801300931568401 0.362 0.05 0 "0" "CD300A"
"FOS" 0 0.800612801720314 0.861 0.697 0 "0" "FOS"
"IL10RA" 0 0.799141270148536 0.397 0.065 0 "0" "IL10RA"
"METRNL" 0 0.797825051903696 0.52 0.216 0 "0" "METRNL"
"MGAT4A" 0 0.797699790940048 0.381 0.058 0 "0" "MGAT4A"
"SLC43A2" 0 0.795263875331049 0.342 0.048 0 "0" "SLC43A2"
"PPT1" 0 0.793458419039407 0.6 0.352 0 "0" "PPT1"
"HERPUD1" 0 0.792739608182125 0.647 0.44 0 "0" "HERPUD1"
"SYNGR2" 0 0.791163130169522 0.49 0.19 0 "0" "SYNGR2"
"NABP1" 0 0.791017460728759 0.412 0.125 0 "0" "NABP1"
"SPRED1" 0 0.790930608185435 0.375 0.12 0 "0" "SPRED1"
"CARD16" 0 0.788741677745702 0.51 0.17 0 "0" "CARD16"
"ACTR2" 0 0.787927187603171 0.644 0.42 0 "0" "ACTR2"
"HEXA" 0 0.785576881505552 0.559 0.316 0 "0" "HEXA"
"COTL1" 0 0.784103303133625 0.715 0.44 0 "0" "COTL1"
