"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"ITGB2" 4.48905414243367e-178 0.88222384549409 0.595 0.332 1.05039377878805e-173 "1" "ITGB2"
"GIMAP4" 1.40398224141022e-177 0.900768340724778 0.507 0.245 3.28517804667577e-173 "1" "GIMAP4"
"LCK" 1.73019484446345e-177 0.820403927129471 0.617 0.346 4.04848291656002e-173 "1" "LCK"
"CD81" 2.12244318141001e-177 0.799908732130434 0.693 0.438 4.96630480018128e-173 "1" "CD81"
"ITM2A" 2.51251711226748e-177 0.921002443555084 0.631 0.365 5.87903879099467e-173 "1" "ITM2A"
"LCP1" 3.06799143510691e-173 0.809369308467904 0.656 0.393 7.17879315900665e-169 "1" "LCP1"
"OAZ1" 6.8661520905394e-171 0.606625027866441 0.924 0.824 1.60661092766531e-166 "1" "OAZ1"
"PTPN22" 3.27055793034955e-168 0.90987412315096 0.433 0.196 7.65277850122492e-164 "1" "PTPN22"
"TIGIT" 5.36226705558077e-166 0.863728617955734 0.421 0.174 1.25471686833534e-161 "1" "TIGIT"
"RAB27A" 2.35173627919217e-165 0.888559316525196 0.385 0.161 5.50282771968175e-161 "1" "RAB27A"
"HAVCR2" 1.52232866957125e-162 0.945715625951556 0.263 0.08 3.56209685392978e-158 "1" "HAVCR2"
"PTMS" 3.70378689555266e-157 0.969913494079101 0.453 0.22 8.66649095690368e-153 "1" "PTMS"
"MYL12B" 3.79854060937049e-156 0.615056292549229 0.863 0.665 8.88820517186602e-152 "1" "MYL12B"
"DUSP2" 3.4280977294915e-155 0.885166390028856 0.779 0.606 8.02140587723716e-151 "1" "DUSP2"
"SH2D1A" 7.54797736415028e-153 0.806969635617965 0.342 0.132 1.76615122343752e-148 "1" "SH2D1A"
"HLA-F" 1.66493126940834e-146 0.751624107344857 0.627 0.389 3.89577267728857e-142 "1" "HLA-F"
"MYL12A" 8.21607656528847e-146 0.594491132892086 0.904 0.76 1.92247975551185e-141 "1" "MYL12A"
"PSMB8" 1.07293791401491e-144 0.810053976547061 0.609 0.388 2.51056742500348e-140 "1" "PSMB8"
"C12orf75" 1.99040017502389e-142 0.737701556951091 0.493 0.253 4.65733736953841e-138 "1" "C12orf75"
"SAMSN1" 5.74397750669965e-142 0.80371586511234 0.575 0.338 1.34403329679265e-137 "1" "SAMSN1"
"CYTOR" 6.45982642257964e-140 0.787002544560446 0.531 0.298 1.51153478461941e-135 "1" "CYTOR"
"CYBA" 2.25858188505415e-139 0.478780012987601 0.94 0.796 5.2848557528382e-135 "1" "CYBA"
"GIMAP7" 1.04830668321271e-138 0.817619492187201 0.526 0.283 2.45293280804942e-134 "1" "GIMAP7"
"SIT1" 2.92977042748227e-136 0.736127802675616 0.354 0.151 6.85536982326575e-132 "1" "SIT1"
"CD48" 3.43538190394691e-135 0.67562918263517 0.715 0.482 8.03845011704538e-131 "1" "CD48"
"TAP1" 2.88513878717622e-134 0.873929161899038 0.436 0.228 6.75093624811363e-130 "1" "TAP1"
"RUNX3" 9.1143148471725e-133 0.743538318879369 0.51 0.28 2.13265853108989e-128 "1" "RUNX3"
"CEMIP2" 2.64825164069486e-132 0.79049630909439 0.339 0.142 6.19664401406191e-128 "1" "CEMIP2"
"PYHIN1" 2.15799043025391e-131 0.71178211810194 0.354 0.149 5.04948180775113e-127 "1" "PYHIN1"
"CHST12" 2.17949246478826e-131 0.830677135092071 0.374 0.174 5.09979441835804e-127 "1" "CHST12"
"CNOT6L" 6.09855416706755e-129 0.807035944200743 0.471 0.256 1.42700068955214e-124 "1" "CNOT6L"
"APOBEC3C" 1.60773118157258e-128 0.801416512215469 0.354 0.161 3.76193019176168e-124 "1" "APOBEC3C"
"KIAA1551" 2.25305935529788e-128 0.82707806602531 0.438 0.229 5.27193358546152e-124 "1" "KIAA1551"
"GBP1" 4.95744070691692e-127 0.894194830209435 0.29 0.115 1.15999155101149e-122 "1" "GBP1"
"TMSB4X" 6.33462299137937e-127 0.376996693888358 0.999 0.991 1.48223843375286e-122 "1" "TMSB4X"
