"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"MRPL12" 5.9564698217163e-174 0.279131194518083 0.858 0.499 1.3937543735834e-169 "0" "MRPL12"
"ATP6V1H" 1.09845139827351e-173 0.347534565783101 0.886 0.513 2.57026642682018e-169 "0" "ATP6V1H"
"CD9" 2.4380147759636e-173 0.479442118048054 0.957 0.701 5.70471077427724e-169 "0" "CD9"
"LDHA" 6.3391409414267e-173 0.583768205055299 0.949 0.721 1.48329558888443e-168 "0" "LDHA"
"TANK" 2.60007241321319e-172 0.265132005405558 0.73 0.352 6.08390943967755e-168 "0" "TANK"
"ACTN1" 3.22435684706992e-172 0.344230229383972 0.88 0.513 7.5446725864589e-168 "0" "ACTN1"
"ORMDL2" 3.65858270266192e-172 0.25087434759578 0.692 0.338 8.56071766595862e-168 "0" "ORMDL2"
"BAMBI" 6.21885060771132e-171 0.290588332475548 0.655 0.296 1.45514885369837e-166 "0" "BAMBI"
"PDXK" 3.94915009736881e-170 0.356279162734265 0.847 0.487 9.24061631283328e-166 "0" "PDXK"
"MRPL27" 7.45456210732706e-170 0.250276082192365 0.822 0.442 1.74429298749346e-165 "0" "MRPL27"
"CLEC4A" 1.85351020780157e-169 0.340745658923434 0.865 0.484 4.33702853523489e-165 "0" "CLEC4A"
"LAPTM4A" 2.00602387605063e-169 0.428763352972511 0.977 0.764 4.69389526757087e-165 "0" "LAPTM4A"
"CYC1" 8.51358802588794e-169 0.41202167279451 0.95 0.688 1.99209446217752e-164 "0" "CYC1"
"RWDD1" 5.76751940130947e-168 0.351348262314955 0.901 0.564 1.3495418647124e-163 "0" "RWDD1"
"SRI" 1.13364625593266e-167 0.293353564143298 0.776 0.418 2.65261887425683e-163 "0" "SRI"
"CSNK2B" 1.44413250783041e-167 0.279413165440725 0.85 0.485 3.37912565507238e-163 "0" "CSNK2B"
"TMBIM4" 3.4681491871061e-167 0.398828057078441 0.968 0.691 8.11512228290956e-163 "0" "TMBIM4"
"LEPROT" 4.32135080609318e-167 0.312204518157907 0.839 0.464 1.01115287511774e-162 "0" "LEPROT"
"NFATC1" 5.16352404986691e-167 0.257587342585517 0.829 0.43 1.20821299242836e-162 "0" "NFATC1"
"CD63" 1.19407046055055e-165 0.366302600351178 0.999 0.96 2.79400547064223e-161 "0" "CD63"
"HMGA1" 5.95881508764084e-163 0.252011269740419 0.646 0.31 1.39430314235708e-158 "0" "HMGA1"
"ATP5PB" 8.9785928920619e-163 0.373688777796461 0.932 0.629 2.10090095081356e-158 "0" "ATP5PB"
"NDUFS3" 6.00396692605461e-162 0.315163719842978 0.884 0.525 1.40486822102752e-157 "0" "NDUFS3"
"GABARAPL2" 1.14952749824037e-161 0.367237436358203 0.886 0.538 2.68977939313263e-157 "0" "GABARAPL2"
"S100A3" 4.64681325550595e-160 0.366173509719248 0.572 0.259 1.08730783365584e-155 "0" "S100A3"
"C1orf122" 1.15449734427306e-158 0.282946567447589 0.819 0.462 2.70140833586454e-154 "0" "C1orf122"
"SPI1" 2.10251526805771e-158 0.403899067216546 0.956 0.671 4.91967547572823e-154 "0" "SPI1"
